Frequency,Storage Modulus [Pa],Loss Modulus [Pa],Tan Delta
0.01,86688.29715530663,463.0756026331338,0.005341846798576624
0.011154865637172875,86695.8672006227,515.9663574228431,0.005951452751823182
0.012443102738338022,86705.26171109885,574.7392084198484,0.006628654329363243
0.013880113915569843,86716.9129022859,639.9873030984298,0.007380190111467396
0.01548308057568351,86731.3513300555,712.3399783418714,0.008213177442964851
0.017271168347127077,86749.2260825119,792.4551941992294,0.009135011688121369
0.01926575623091956,86771.32793215537,881.0070877305986,0.010153205081976377
0.02149069221544338,86798.61520374546,978.666903156742,0.011275144204311124
0.023972578411310796,86832.24162086743,1086.0751383612758,0.012507740420929907
0.02674108911547631,86873.58462496346,1203.8023465171752,0.013856943416275906
0.02982932560748043,86924.2715233134,1332.2957469026032,0.015327085560277337
0.03327421191989242,86986.19923293765,1471.8088088275192,0.016920026645677527
0.0371169363149216,87061.54130812241,1622.3115594362243,0.018634078090745573
0.0414034437456453,87152.733452102,1783.380935227694,0.020462707990769064
0.04618498518989187,87262.42613453449,1954.0735594310784,0.0223930693425649
0.05151873042480629,87393.3909677094,2132.788402396688,0.024404458721423484
0.05746845156864445,87548.36736882571,2317.1341600271107,0.026466903149266467
0.06410528556246055,87729.83954464196,2503.82549746871,0.028540180974508913
0.07150858470818457,87939.74304016825,2688.641931218109,0.03057368418725101
0.07976686543241933,88179.11648203028,2866.4896502898737,0.03250757962486533
0.08897886661970873,88447.73712863032,3031.6048284533854,0.03427566297195932
0.09925473016907775,88743.80396327299,3177.921333260349,0.03581006438010642
0.11071731788899107,89063.75015313733,3299.593208236018,0.037047544063242975
0.12350368047598521,89402.2656549142,3391.6166602233275,0.03793658511200045
0.13776669614059459,89752.58115258429,3450.4506060022027,0.038444026474695456
0.15367689847255556,90107.00726245221,3474.5089339571455,0.03855980838246063
0.17142451539988146,90457.6538152068,3464.4089138172944,0.0382986819544826
0.1912217436203149,90797.19950521618,3422.9119678132643,0.0376984310800976
0.21330528569905324,91119.56629205702,3354.5689819365048,0.03681502358323808
0.23793918016717117,91420.38294476135,3265.153208411971,0.03571581198018897
0.26541795845838617,91697.18400566051,3161.0031271890653,0.03447219411878488
0.296070166429603,91949.35758406085,3048.3955185610284,0.033152983323175046
0.33026229256976325,92177.9036804319,2933.0346273239757,0.031819281088148875
0.36840314986403866,92385.08338205251,2819.6963426847915,0.030521121370038932
0.4109487637044614,92574.03167120805,2712.0252888103555,0.029295745684303355
0.4584078242885569,92748.38414397811,2612.457805842646,0.02816715169708178
0.5113477686967605,92911.94270044034,2522.236227724916,0.027146523411494247
0.5704015653680518,93068.3855960142,2441.48519365443,0.02623323890297492
0.6362752820913694,93221.01695542324,2369.33259439104,0.025416292074179107
0.7097565279983494,93372.55023598344,2304.070139608899,0.02467609735179931
0.7917238704927916,93524.92713225965,2243.3566090301883,0.02398672394427758
0.8831573397089548,93679.18423647381,2184.4672647268453,0.023318598283398877
0.9851501460936433,93835.38915445647,2124.584398906306,0.02264161120927588
1.0989217512115819,93992.66990570424,2061.108486706459,0.021928395999115825
1.2258324480531901,94149.35205087779,1991.9526327084448,0.021157369533802043
1.3673996251720033,94303.19726272658,1915.773256423147,0.02031504033830206
1.525315909111425,94451.7112291974,1832.0944652395797,0.019397154814842922
1.701469402038014,94592.46838437022,1741.3038206969559,0.018408482730583615
1.8979662565494921,94723.39555230437,1644.526870163993,0.017361358939628785
2.117155857569757,94842.96908389669,1543.4153926930403,0.01627337701045354
2.361658912414415,94950.30496628094,1439.8994034650054,0.01516476860160004
2.634398784881462,95045.14823121915,1335.951719671078,0.014055969657925818
2.93863644800842,95127.78734837579,1233.3999367456638,0.01296571665467969
3.2780094734032845,95198.92695637618,1133.8017080343252,0.011909816048177485
3.656575523319345,95259.54961291196,1038.3824679717986,0.010900560334279085
4.078860865480238,95310.7886557651,948.0240930335215,0.009946660880726831
4.549914490715472,95353.82433471139,863.2888602277519,0.009053531583562206
5.075368480455694,95389.80711997488,784.4637147913911,0.008223768749262124
5.661505345862554,95419.80669145916,711.6130065964576,0.0074577074851709235
6.315333143723273,95444.78242375338,644.6316306206314,0.006753974541621478
7.044669267221762,95465.57044483653,583.2937972432462,0.006109991220136212
7.858233913417984,95482.88269955033,527.2950295863188,0.005522403751105035
8.76575434496528,95497.3142045497,476.28646183400195,0.004987433058209617
9.778081192655202,95509.3554252137,429.9013496166182,0.004501143869128529
10.907318189343588,95519.40728828777,387.7742019883459,0.004059637857864863
12.166966886401946,95527.79680723725,349.55331991582017,0.003659179124806716
13.572088082974531,95534.7917522536,314.90785062207,0.003296263537567627
15.139481898145608,95540.61331442856,283.53069498053014,0.002967645749220989
16.88788863902252,95545.44626996444,255.13865807184087,0.0026703382320382336
18.838212866383433,95549.4466515195,229.47108322877924,0.0024015951035874475
21.01377333689685,95552.74728511457,206.28790883052977,0.002158890400241436
23.440581810309023,95555.46171308708,185.3677342264651,0.0019398967981866548
26.147654055115567,95557.6870226049,166.50617025225242,0.001742467565302874
29.167356771209263,95559.50599949012,149.51453296301764,0.001564622288480807
32.53579457743238,95560.98889464383,134.21882266109196,0.00140453572334908
36.2932416909916,95562.19497059695,120.4588911515552,0.0012605287183767452
40.48462346004518,95563.17390881569,108.08770689444196,0.0011310602450016669
45.160053506834075,95563.96710600246,96.9706536974521,0.0010147198429915462
50.375432903627186,95564.60886216091,86.98482688903195,0.000910220090101513
56.19311854543787,95565.12745491958,78.0183134944751,0.0008163889440871436
62.68266871080866,95565.54609535694,69.96945768286476,0.000732161961519563
69.9216747248491,95565.88376483822,62.746120555853224,0.0006565744812265269
77.99668866817983,95566.15593706294,56.264946148172285,0.0005887538909195712
87.00425822379502,95566.37519322976,50.45064522852145,0.000527912093835443
97.05208103483265,95566.551740559,45.235306622955704,0.0004733382736855365
108.2602923751572,95566.69384547921,40.55774333111001,0.00042439203135652474
120.76290152859298,95566.80819287554,36.362878256723384,0.000380496941818281
134.70939405065934,95566.90018223748,32.60117222427489,0.0003411345576984017
150.26651907000772,95566.97417059813,29.228095215032422,0.0003058388681727736
167.62028299916113,95567.03367103622,26.20364043578968,0.00027419120829875977
186.97817349205354,95567.08151434857,23.49187988770925,0.0002458156042379734
208.57164023878562,95567.11998038502,21.060559466970616,0.0002203745333258265
232.6588622588413,95567.15090451491,18.88073123721652,0.00019756507396648286
259.5278347794886,95567.17576378847,16.92642030639019,0.00017711541825016255
289.49981260715964,95567.1957465706,15.174323667444511,0.0001587817194896507
322.9331511619592,95567.21180875564,13.60353838366095,0.00014234524714275097
360.22759110004927,95567.22471910913,12.195316584180778,0.0001276098225100207
401.8290377523501,95567.23509581362,10.932844860775127,0.00011439950993469775
448.2348925241932,95567.24343590782,9.801045806006876,0.00010255653981042101
500.0,95567.25013899058,8.786399593722631,9.193944139800941e-05
